Movie Name,Storyline,Rating,Voting Count,Image URL,Duration,Year,Cleaned_Storyline
I Want to Be Neenja! The Movie,"One of the greatest songs ever is now a movie. Buckle up for a laughter-filled ride. Jennifer Murphy ""GoGirl"" is a superhero on a mission to spread smiles, but she is being sabotaged by Chow, the billionaire ninja villain. Who will win?!.",3.1, (454,"https://m.media-amazon.com/images/M/MV5BN2E1Y2VmNmEtODkxNy00MTkwLWIyM2UtYmU2ZjRjMjUxZjc0XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",1h 30m,2024.0,One of the greatest songs ever is now a movie buckle up for a laughterfilled ride jennifer murphy gogirl is a superhero on a mission to spread smiles but she is being sabotaged by chow the billionaire ninja villain who will win
The Southern Chronicles,"It follows Rimants who is more interested in playing rugby, listening to music and dealing on the black market than studying for school, but when he falls in love with Monika, his faith in love and the future is tested.",8.5, (3.5K,"https://m.media-amazon.com/images/M/MV5BZTJlY2Y2ZmMtZDEzOC00MzQ3LWFlNzUtN2I2M2E5YzNlYWZlXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",2h,2024.0,It follows rimants who is more interested in playing rugby listening to music and dealing on the black market than studying for school but when he falls in love with monika his faith in love and the future is tested
Eks,Three compelling stories in one erotic experience. Yen Durano plays three different women in three titillating stories.,4.3, (263,"https://m.media-amazon.com/images/M/MV5BNTU3NDRkMTItYWU0Ny00NjcxLWFhZDUtZGQ4YWIyZGIzYTljXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",2h 1m,2024.0,Three compelling stories in one erotic experience yen durano plays three different women in three titillating stories
Dahomey,"The journey of 26 plundered royal treasures from the Kingdom of Dahomey exhibited in Paris, now being returned to Benin. Diop artistically voices a new generation's demands.",6.7, (3.3K,"https://m.media-amazon.com/images/M/MV5BMzUxYWUyNTctMDM5Mi00MmYxLWIyZGQtM2JjZDA1MzE3YTQ4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 8m,2024.0,The journey of  plundered royal treasures from the kingdom of dahomey exhibited in paris now being returned to benin diop artistically voices a new generations demands
Tenants,"After waking up in an unfamiliar apartment complex, a woman desperately searches for her sister while being hunted by a shadowy figure. As she makes her way through the building, unspeakable horrors befall the tenants she interacts with.",4.4, (174,"https://m.media-amazon.com/images/M/MV5BZjgwM2Q2MzMtNWYzOS00YTQyLTliNDEtYWI2MDllNjBlNDI2XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 34m,2024.0,After waking up in an unfamiliar apartment complex a woman desperately searches for her sister while being hunted by a shadowy figure as she makes her way through the building unspeakable horrors befall the tenants she interacts with
Christspiracy,"The moral dimension of humanity's interaction with nonhuman animals and the industries that profit from their exploitation, as informed by world religions. A historical explanation of how the current global situation came to be.",8.5, (731,"https://m.media-amazon.com/images/M/MV5BZTA5YzJjMGUtNDkxMy00MzA5LWFlNGEtZWE0YThhMzFkNDk4XkEyXkFqcGc@._V1_QL75_UY133_CR3,0,90,133_.jpg",1h 51m,2024.0,The moral dimension of humanitys interaction with nonhuman animals and the industries that profit from their exploitation as informed by world religions a historical explanation of how the current global situation came to be
Chain Reactions,"The Texas Chain Saw Massacre's impact on 5 artists - Patton Oswalt, Takashi Miike, Alexandra Heller-Nicholas, Stephen King, Karyn Kusama - through interviews, outtakes, exploring how it shaped their art, psyche from childhood trauma.",7.1, (464,"https://m.media-amazon.com/images/M/MV5BYjFkYzUwZTktZjI3OC00ZjFkLThhZGUtNzQ2ODdlNmRiOGExXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",1h 43m,2024.0,The texas chain saw massacres impact on  artists  patton oswalt takashi miike alexandra hellernicholas stephen king karyn kusama  through interviews outtakes exploring how it shaped their art psyche from childhood trauma
How to Rob a Bank,"In this true-crime documentary, a charismatic rebel in 1990s Seattle pulls off an unprecedented string of bank robberies straight out of the movies.",6.6, (4.5K,"https://m.media-amazon.com/images/M/MV5BMWIxOGYzY2UtMDhlYi00ZjM5LThmNDktNmIzNWNhMjc3MjE5XkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",1h 28m,2024.0,In this truecrime documentary a charismatic rebel in s seattle pulls off an unprecedented string of bank robberies straight out of the movies
No Dogs Allowed,"15-year-old Gabo struggles to control and hide his pedophilic urges, confiding only in online forums where he encounters the manipulative older Dave. When Dave is arrested for suspected abuse of minors, Gabo must make a choice.",7.6, (437,"https://m.media-amazon.com/images/M/MV5BMjQ3ZTE1ZTMtN2MzNi00ZWNmLWIxMWYtMjYyNzljY2ZiMDY5XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",1h 46m,2024.0,Yearold gabo struggles to control and hide his pedophilic urges confiding only in online forums where he encounters the manipulative older dave when dave is arrested for suspected abuse of minors gabo must make a choice
Dange,"Journey that delves deep into the complexities of friends. Set against the backdrop of a vibrant college festival, the movie explores the intricate dynamics between two friends whose paths diverge and ignite a fierce competition.",5.3, (845,"https://m.media-amazon.com/images/M/MV5BMjg0ZTRmNzktMzE2Zi00ZWMxLThlZDktZTlkMzdmMjMzZTMyXkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",2h 34m,2024.0,Journey that delves deep into the complexities of friends set against the backdrop of a vibrant college festival the movie explores the intricate dynamics between two friends whose paths diverge and ignite a fierce competition
Blade of Fury,"Knife catcher Pei Xing originally exchanged his life for money as bounty hunter, but after witnessing the killing of people who stood up for justice, he gradually awakened and decided to fight back.",6.3, (188,"https://m.media-amazon.com/images/M/MV5BNzBhN2QyNmYtOTI5NC00ZGE0LTljNmMtMTYwOWE0NjRiODA3XkEyXkFqcGc@._V1_QL75_UX90_CR0,13,90,133_.jpg",1h 30m,2024.0,Knife catcher pei xing originally exchanged his life for money as bounty hunter but after witnessing the killing of people who stood up for justice he gradually awakened and decided to fight back
Blackout,"The streets of Pune, where a single night of darkness engulfs the city in mystery, as crime reporter Lenny, gets entangled in a web of greed and misfortune.",6.1, (12K,"https://m.media-amazon.com/images/M/MV5BYjIzODZjYTItNDkwNS00NjkxLWIwOTQtOGYxNzRkOGQyODcyXkEyXkFqcGc@._V1_QL75_UY133_CR22,0,90,133_.jpg",2h 2m,2024.0,The streets of pune where a single night of darkness engulfs the city in mystery as crime reporter lenny gets entangled in a web of greed and misfortune
Parvulos,"Three young brothers living in a cabin in the middle of the woods hide a dark, disturbing secret in their basement.",6.4, (559,"https://m.media-amazon.com/images/M/MV5BYzY0MWVhNmItN2EyZC00YjJiLThmOTktNWY4NWVkYmU1YmEyXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",1h 59m,2024.0,Three young brothers living in a cabin in the middle of the woods hide a dark disturbing secret in their basement
Sunray: Fallen Soldier,"A war veteran calls on friends from his past to hunt down those responsible for the death of his daughter. Along the way, he learns more about himself than he anticipated as a violent crime syndicate unravels in his wake.",4.4, (879,"https://m.media-amazon.com/images/M/MV5BNWRlMzA2MjktZjY0Zi00OGIyLWExYTMtODRiZjZmODI2YWJjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",1h 55m,2024.0,A war veteran calls on friends from his past to hunt down those responsible for the death of his daughter along the way he learns more about himself than he anticipated as a violent crime syndicate unravels in his wake
Seize Them!,"Dark Ages Britain where Queen Dagan is toppled by a revolution led by Humble Joan. The Queen becomes a fugitive in her own land, and must face hardship and danger as she embarks on a voyage to win back her throne.",5.1, (1.3K,"https://m.media-amazon.com/images/M/MV5BN2EzZjlkZWItZDQ2OC00NjExLTk5NDktZTJjZmFlYjY0OGQxXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 31m,2024.0,Dark ages britain where queen dagan is toppled by a revolution led by humble joan the queen becomes a fugitive in her own land and must face hardship and danger as she embarks on a voyage to win back her throne
Shayar,Satta and Seero's enduring love faces obstacles from destiny. Their journey depicts the resilience of true passion as they strive to overcome adversity and be together,8.1, (761,"https://m.media-amazon.com/images/M/MV5BNjU3NjJkZTUtMGM2Yy00YWEyLTllNTUtN2IxMzFkZjBkMDYxXkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",2h 35m,2024.0,Satta and seeros enduring love faces obstacles from destiny their journey depicts the resilience of true passion as they strive to overcome adversity and be together
They Called Him Mostly Harmless,"A hiker found dead in Florida wilderness is identified by internet sleuths after 2 years. His identity triggers more questions as multiple hikers claim to have met him, but he never revealed his name.",5.9, (3.5K,"https://m.media-amazon.com/images/M/MV5BYWUxNTYwZTktOGE0YS00NDllLTg4OTgtYzE0ZGQyNTRmYjM5XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 29m,2024.0,A hiker found dead in florida wilderness is identified by internet sleuths after  years his identity triggers more questions as multiple hikers claim to have met him but he never revealed his name
The Stepdaughter,"A teen moves in with birth father and new family, planning revenge on stepmom. Seeking retribution for mom and grandma's deaths, she aims to get close to dad and remove obstacles.",5.2, (345,"https://m.media-amazon.com/images/M/MV5BYWI2NDY2ZDYtNWU2ZS00ZTA0LTlkOWQtZGZiODY1M2M5YjNkXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",1h 45m,2024.0,A teen moves in with birth father and new family planning revenge on stepmom seeking retribution for mom and grandmas deaths she aims to get close to dad and remove obstacles
Kingdom 4: Return of the Great General,"While Qin continues to fight for the unification of the region, its neighboring country invades Qin from the north.",7.2, (1.7K,"https://m.media-amazon.com/images/M/MV5BODkxNmNlZmMtZDI5ZS00YWI5LWIxODctNTY3MWRiMmJlOTJiXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",2h 25m,2024.0,While qin continues to fight for the unification of the region its neighboring country invades qin from the north
GTMax,"When a notorious gang of bikers recruits her brother for a heist, a former motocross champion must face her deepest fears to keep her family safe.",5.0, (1.4K,"https://m.media-amazon.com/images/M/MV5BZDk1ODA0ZmQtNmM4YS00Mzc1LWJmMDItYmU3ZGE0M2FjMGY0XkEyXkFqcGc@._V1_QL75_UY133_CR3,0,90,133_.jpg",1h 40m,2024.0,When a notorious gang of bikers recruits her brother for a heist a former motocross champion must face her deepest fears to keep her family safe
Bhoothaddam Bhaskar Narayana,"In a small town in southern India, a rash of unsolved murders over the past 18 years has left the region shrouded in mystery. Despite repeated efforts, local police have failed to find any explanation or suspect.",6.1, (350,"https://m.media-amazon.com/images/M/MV5BNGU0NjJhMzMtMmM1Zi00OWY5LThkNjYtMGRiYzNiOTE5M2E0XkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg",2h 21m,2024.0,In a small town in southern india a rash of unsolved murders over the past  years has left the region shrouded in mystery despite repeated efforts local police have failed to find any explanation or suspect
I Can Never Be Yours,"When fresh-faced college graduate Sheryl Davis has a one-night stand with billionaire Liam Anderson on New Year's Eve, she never expects to become his secretary. Will Liam realize his perfect match has been right before him all along?",8.0, (249,"https://m.media-amazon.com/images/M/MV5BYzdiZGVjZjktNzI1Ny00NDdkLTg4ODEtOWZkNzc3OTUzZjI2XkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg",,2024.0,When freshfaced college graduate sheryl davis has a onenight stand with billionaire liam anderson on new years eve she never expects to become his secretary will liam realize his perfect match has been right before him all along
The Commandant's Shadow,"Follows Hans Jürgen Höss, the son of Rudolf Höss, the Camp Commandant of Auschwitz when he confronts his father's involvement in the murder of over a million Jews during the Holocaust.",7.4, (1.3K,"https://m.media-amazon.com/images/M/MV5BMjExYWE1MWMtN2RhMS00YzZkLTg0ODUtN2VkNmYyMDM3Yjg3XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 43m,2024.0,Follows hans jrgen hss the son of rudolf hss the camp commandant of auschwitz when he confronts his fathers involvement in the murder of over a million jews during the holocaust
Micro Budget,"A comedy feature about an aspiring director who recklessly moves himself and his nine-months-pregnant actress wife from Iowa to LA to shoot a low-budget indie movie and sell it to a streamer for a ""f***-ton of money.""",7.8, (50,"https://m.media-amazon.com/images/M/MV5BMjZlNDQwNzAtODM1Yi00NzRkLThjYWQtNTZkM2I2YTQwNTgyXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 28m,,A comedy feature about an aspiring director who recklessly moves himself and his ninemonthspregnant actress wife from iowa to la to shoot a lowbudget indie movie and sell it to a streamer for a fton of money
Everybody Loves Touda,"Touda is a Sheikha, a traditional Moroccan singer. Performing in the bars of her provincial town under the gaze of men, she plans to leave for the lights of Casablanca, to gain recognition and ensure a better future for her son.",6.4, (648,"https://m.media-amazon.com/images/M/MV5BMjg5YzBiOTItODM3My00NjRmLTk2NTctM2UxZDI1NWQzNGQxXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",1h 42m,2024.0,Touda is a sheikha a traditional moroccan singer performing in the bars of her provincial town under the gaze of men she plans to leave for the lights of casablanca to gain recognition and ensure a better future for her son
Face Off 7: One Wish,"When a 73-year-old widow is forced to depend on the care of her 5 busy adult children after an injury, she begins to question the meaning of family love.",7.2, (405,"https://m.media-amazon.com/images/M/MV5BMGY2MWU4YTUtMTUxMi00NTk5LWI3ODQtZDZkNzIxNWU0MjgxXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg",2h 18m,2024.0,When a yearold widow is forced to depend on the care of her  busy adult children after an injury she begins to question the meaning of family love
Albany Road,"On her way to the most important meeting of her career, a New York executive is forced to share a rental car with her ex-fiancé's mother, only to discover that the mother is hiding a major secret.",6.4, (261,"https://m.media-amazon.com/images/M/MV5BMmNjZGVkYzItZmY4YS00YTE4LTkzMGYtYzMzOTBkYTc0NjExXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 15m,2024.0,On her way to the most important meeting of her career a new york executive is forced to share a rental car with her exfiancs mother only to discover that the mother is hiding a major secret
A Sudden Case of Christmas,"An American couple takes their 10-year-old daughter to her grandfather's hotel in Italy to tell her that they are separating. Hoping to bring them back together, she asks to celebrate one last Christmas together, although it's August.",5.1, (1.5K,"https://m.media-amazon.com/images/M/MV5BMDA2YjU5NjItMzA2ZS00NTJiLWE5MTUtMjc2NmIxOGFlNmE3XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",1h 31m,2024.0,An american couple takes their yearold daughter to her grandfathers hotel in italy to tell her that they are separating hoping to bring them back together she asks to celebrate one last christmas together although its august
Fine Young Men,"When Alf returns to school after a year away, he begins to bond with new student Oliver. This will deeply damage the relationship between Alf and Oliver as Alf faces the transition to adulthood alone, embroiled in crime.",6.3, (153,"https://m.media-amazon.com/images/M/MV5BZTIyN2E0NGYtZjM3Ni00ZWEyLTlhODktMjRjYTQ2ZDc4OGJjXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",1h 29m,2024.0,When alf returns to school after a year away he begins to bond with new student oliver this will deeply damage the relationship between alf and oliver as alf faces the transition to adulthood alone embroiled in crime
Conquer: Lahad Datu,"The Malaysian security forces in quelling the militant group of the Sulu Sultanate aka ""Operation Daulat"" in Lahad Datu, Sabah.",6.5, (630,"https://m.media-amazon.com/images/M/MV5BMmVkZDAzY2UtMmFkZS00MTY3LWJkNmUtNjE3Zjg3NGZhMzI2XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg",2h,2024.0,The malaysian security forces in quelling the militant group of the sulu sultanate aka operation daulat in lahad datu sabah
Slay,"After a booking mistake, four drag queens find themselves performing for a mostly unwelcoming crowd, but when vampires attack, the crowd looks to the queens to save the day.",6.5, (1.4K,"https://m.media-amazon.com/images/M/MV5BNTY0ZWJkZDAtZTFjNi00MGFmLWI5MDItMTU5MDM2ZjE2NDczXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg",1h 39m,2024.0,After a booking mistake four drag queens find themselves performing for a mostly unwelcoming crowd but when vampires attack the crowd looks to the queens to save the day
In Vitro,"On a struggling cattle farm some years in the future, a woman discovers the unsettling consequences of her husband's animal breeding technology.",5.5, (706,"https://m.media-amazon.com/images/M/MV5BY2E3NWJkNWMtMWFkMC00ZjAwLWJkZDYtMTFjYTU0NDYwZmE5XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",1h 29m,2024.0,On a struggling cattle farm some years in the future a woman discovers the unsettling consequences of her husbands animal breeding technology
Daughters,"Four young girls prepare for a special Daddy/Daughter Dance with their incarcerated fathers as part of a unique fatherhood program in a Washington, D.C. jail.",7.6, (1.9K,"https://m.media-amazon.com/images/M/MV5BZjRmNDEzOGQtNzhhZi00MzA0LWIyOWUtMTRiMjIxODE0NTIxXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",1h 48m,2024.0,Four young girls prepare for a special daddydaughter dance with their incarcerated fathers as part of a unique fatherhood program in a washington dc jail
3391 Kilometres,"A lonely Turkish girl meets a boy who lives in a small town of France. Despite living far apart, they bond over shared quirks. Through late night chats they become close, overcoming physical distance to find friendship.",4.4, (1.4K,"https://m.media-amazon.com/images/M/MV5BYjk3YzQ2ZjgtYTYxOS00MzUyLThjYmItNzUzZWYwMmM2ZTQwXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",1h 50m,2024.0,A lonely turkish girl meets a boy who lives in a small town of france despite living far apart they bond over shared quirks through late night chats they become close overcoming physical distance to find friendship
Son's Will,"A post-apocalyptic tale set in the west Balkans, after a nuclear war.",7.3, (1.3K,"https://m.media-amazon.com/images/M/MV5BMGJiZGNjZjAtZTRjNC00MTY4LWI0ZTEtOWJjNGNjODRlNmFjXkEyXkFqcGc@._V1_QL75_UY133_CR3,0,90,133_.jpg",2h 28m,2024.0,A postapocalyptic tale set in the west balkans after a nuclear war
Yudhra,"A young man consumed by vengeance, Yudhra infiltrates a ruthless cartel to avenge his murdered parents, only to discover a dark truth about his past that will test his limits.",4.9, (14K,"https://m.media-amazon.com/images/M/MV5BZWM0YTZhMTAtMjc0MS00MzhmLTljZWQtZDFkYzFkMGZjZmVhXkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",2h 22m,2024.0,A young man consumed by vengeance yudhra infiltrates a ruthless cartel to avenge his murdered parents only to discover a dark truth about his past that will test his limits
Binny and Family,Rebellious teenage Binny and her conservative grandfather from Bihar connect after a dramatic incident. Can the contrasting personalities bridge generational gaps and impact each other's lives?,7.5, (5.5K,"https://m.media-amazon.com/images/M/MV5BNjliOTZhY2UtZjExNS00N2E4LThhNTgtMjk2MmNkY2E5Mjc1XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",2h 20m,2024.0,Rebellious teenage binny and her conservative grandfather from bihar connect after a dramatic incident can the contrasting personalities bridge generational gaps and impact each others lives
If I Tell You,"Set in the Iron Range area of Minnesota, the story follows Michael, 12, a happy, friendly kid, whose life is changed the night his mom comes home with a black eye and bruised lip.",8.1, (29,"https://m.media-amazon.com/images/M/MV5BZjliMWQxZDgtNzNkOS00NDRiLWE3YWMtNjFhZDU5NzU1MWIyXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",,2024.0,Set in the iron range area of minnesota the story follows michael  a happy friendly kid whose life is changed the night his mom comes home with a black eye and bruised lip
Man and Witch: The Dance of a Thousand Steps,"A goatherd seeks help from a witch to break a curse that prevents him from taking a wife, so she sets upon him a series of impossible tasks.",5.6, (411,"https://m.media-amazon.com/images/M/MV5BYWY0MGI4NzMtOTM3YS00YzgzLTgxNmItNjE2ZTg0N2Q3ZWZkXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 34m,2024.0,A goatherd seeks help from a witch to break a curse that prevents him from taking a wife so she sets upon him a series of impossible tasks
The Haunted Apartment: Miss K,"Apartment 610 holds a dark and terrifying secret, anyone who enters will die within four days. Can Alma and her sister, Mia, somehow evade the curse?",5.6, (643,"https://m.media-amazon.com/images/M/MV5BZTlmOWY0YjgtNzVjYi00MmQwLTgxYjQtZjY4MTE3YmNjODkyXkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",1h 43m,2024.0,Apartment  holds a dark and terrifying secret anyone who enters will die within four days can alma and her sister mia somehow evade the curse
The Body,"A night watchman escapes from the morgue where he works and is run over. The inspector called to investigate discovers that the body of a recently deceased woman is missing. Questioning the widower, he begins to suspect him.",6.3, (728,"https://m.media-amazon.com/images/M/MV5BMjNlNWM4ZWEtN2RmNC00MzA1LTg2NmItMWJmYmU0MTkxNGI1XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",1h 56m,2024.0,A night watchman escapes from the morgue where he works and is run over the inspector called to investigate discovers that the body of a recently deceased woman is missing questioning the widower he begins to suspect him
Shoutai,"Accused of a brutal murder, Kaburagi escapes and goes on the run across Japan. Detective Matanuki pursues him, but after 488 days missing, Kaburagi's true identity and motives remain a mystery.",6.8, (955,"https://m.media-amazon.com/images/M/MV5BOWE4M2FhNDItZWFhOC00Zjg3LTlkMmUtZjYxZjZiMjBiZmM0XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",2h,2024.0,Accused of a brutal murder kaburagi escapes and goes on the run across japan detective matanuki pursues him but after  days missing kaburagis true identity and motives remain a mystery
