Movie Name,Storyline,Rating,Voting Count,Image URL,Duration,Year
Kinds of Kindness,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide.",6.4, (70K,"https://m.media-amazon.com/images/M/MV5BMjZmZGY1MzMtNDVkNi00NjE2LTlkMzMtMmUzNWExY2ExZWI2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",2h 44m,2024
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",7.1, (281K,"https://m.media-amazon.com/images/M/MV5BMDU0NjcwOGQtNjNjOS00NzQ3LWIwM2YtYWVmODZjMzQzN2ExXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 59m,2024
Twisters,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies.",6.5, (192K,"https://m.media-amazon.com/images/M/MV5BNjM4MWEwMTEtNTcwYi00ZDI4LWEwMzUtNDMzODBhZmI5MWE1XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 2m,2024
Your Monster,"After her life falls apart, soft-spoken actress Laura Franco finds her voice again when she meets a terrifying, yet weirdly charming Monster living in her closet. A romantic-comedy-horror film about falling in love with your inner rage.",6.4, (8K,"https://m.media-amazon.com/images/M/MV5BNjNmMjU0MDAtYTQ4Ni00ODdjLWFlNjMtNDk2ZmNkMjE2Y2ZiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 43m,2024
The Idea of You,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.",6.3, (83K,"https://m.media-amazon.com/images/M/MV5BY2RkZmZjYTQtOGExMS00YTljLWJmNzQtMzI0ZDU3YzFjNzJkXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 55m,2024
Trap,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.,5.8, (161K,"https://m.media-amazon.com/images/M/MV5BMzJiN2UyZjgtMjQ3MS00MDhhLTg5ZDItZmVjMTU3MTcwNzE4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 45m,2024
The Beekeeper,A former operative of a powerful organization embarks on a brutal campaign for vengeance.,6.3, (177K,"https://m.media-amazon.com/images/M/MV5BNzg3YjVmZGYtOTc5MC00MDdiLTllOTYtZWQ0ODQ1MmMyNTExXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 45m,2024
Speak No Evil,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",6.8, (129K,"https://m.media-amazon.com/images/M/MV5BMWI2OWFjNjgtOTQ2Zi00MjlmLTg2MGYtNmE4MjMyZjIzMDA0XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg",1h 50m,2024
Conclave,"When Cardinal Lawrence is tasked with leading the selection of a new Pope, he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the Catholic Church.",7.4, (252K,"https://m.media-amazon.com/images/M/MV5BYjgxMDI5NmMtNTU3OS00ZDQxLTgxZmEtNzY1ZTBmMDY4NDRkXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h,2024
Friendship,A suburban dad falls hard for his charismatic new neighbor.,6.6, (38K,"https://m.media-amazon.com/images/M/MV5BMzljN2M1MWMtYmUwMi00YWM5LTllMGItNzZlMmU1NWM2NTY5XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 40m,2024
Fly Me to the Moon,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins.",6.6, (57K,"https://m.media-amazon.com/images/M/MV5BYzI4MzRlMGYtYWUwMC00M2FkLTliN2ItNDA1MDJhOTgwMzY5XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",2h 12m,2024
Furiosa: A Mad Max Saga,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home.",7.5, (315K,"https://m.media-amazon.com/images/M/MV5BNTcwYWE1NTYtOWNiYy00NzY3LWIwY2MtNjJmZDkxNDNmOWE1XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 28m,2024
Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.,6.7, (36K,"https://m.media-amazon.com/images/M/MV5BYzM2MmVkY2QtMTdmOS00YmNhLTg3NjktNmY1YTQ3ODQ0MTAxXkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg",1h 38m,2024
Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.",6.5, (114K,"https://m.media-amazon.com/images/M/MV5BNmUxMDRiNjQtYjE0NS00OWZkLTlhZjktYjQ1MmNjNDlhNDdkXkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg",1h 49m,2024
Kraven the Hunter,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",5.5, (79K,"https://m.media-amazon.com/images/M/MV5BZDU0YTI5ODAtN2NmMS00YTg3LTgyNDItN2RmOWEzOTkzZjcyXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 7m,2024
Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",6.2, (182K,"https://m.media-amazon.com/images/M/MV5BODVkYjlkM2UtNWVlMS00N2U1LTgxOTYtODlmNmE1YTgzMjczXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 1m,2024
I'm Still Here,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.,8.1, (145K,"https://m.media-amazon.com/images/M/MV5BM2FjMjBiZjgtZDkyYy00YTRlLTk5N2QtODE2ZWIyYWE0Yzg0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 17m,2024
Freaky Tales,"Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe.",6.2, (17K,"https://m.media-amazon.com/images/M/MV5BOTYyNmYyN2EtYTFjNS00ZWY5LWJiZmMtNTk5N2MyYzkzMDhmXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",1h 47m,2024
Flow,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences.",7.9, (123K,"https://m.media-amazon.com/images/M/MV5BOTM5ODBlOTAtYjcwZi00YzkzLWIzODEtMTM2MTZlNDFmMWU2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",1h 25m,2024
A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,6.3, (172K,"https://m.media-amazon.com/images/M/MV5BMDdjZTljZWMtMDIwNi00MTA5LTkxZmItNmY0NDA3ZDM0N2M2XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 39m,2024
Madame Web,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present.",4.1, (113K,"https://m.media-amazon.com/images/M/MV5BODViOTZiOTQtOTc4ZC00ZjUxLWEzMjItY2ExMmNlNDliNjE4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 56m,2024
Wolfs,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job.",6.5, (101K,"https://m.media-amazon.com/images/M/MV5BNWI2MzdiM2ItMTg2Zi00MTYwLThlZmItM2FkNWI4NjE3ZjRhXkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",1h 48m,2024
Ghostbusters: Frozen Empire,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.",6.1, (104K,"https://m.media-amazon.com/images/M/MV5BOWI5NGUyMzUtMGFiNi00ZTc3LTk1YTQtMDU0NGRjNGIxZTZmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 55m,2024
The Order,A series of bank robberies and car heists frightens communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists.,6.8, (60K,"https://m.media-amazon.com/images/M/MV5BZWIxOGQyYjYtOGEwOC00YWNjLWJmNTktZjJlM2RmNTdjMmVlXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 56m,2024
The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.,6.2, (42K,"https://m.media-amazon.com/images/M/MV5BYTExNzBhOTAtOGIyYy00MzY5LWFjOWYtZDE2NDE0ZmI3Y2Q3XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",1h 41m,2024
MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",6.2, (84K,"https://m.media-amazon.com/images/M/MV5BNjBmYzFmODktNDIyZC00NWFmLTk2NTctYmZiY2E2OTA2OTc0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 43m,2024
The Strangers: Chapter 1,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive.",4.7, (28K,"https://m.media-amazon.com/images/M/MV5BMjkxMDFlNjctZmEzYS00NjA3LWExNDUtNmI4ZDM2ZGQyNzYzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 31m,2024
The Apprentice,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events.",7.1, (71K,"https://m.media-amazon.com/images/M/MV5BZjI3MWUwOTMtOTY1YS00NzE0LWE1OTYtYmQ0Mjg2NDEyMzMxXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",2h 2m,2024
Smile 2,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past.",6.7, (136K,"https://m.media-amazon.com/images/M/MV5BYTg5OTMyMGMtYzMwNC00NDMyLWE0OGUtMTQ1ODcwM2FjOTM4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 7m,2024
Tell Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. Eric fears his secret may end their affair.",4.0, (2.2K,"https://m.media-amazon.com/images/M/MV5BNWE0OTZkMjItNTU5MS00ZGRjLThkOTEtMjdjZGJjZjUxOTVkXkEyXkFqcGc@._V1_QL75_UY133_CR5,0,90,133_.jpg",1h 54m,2024
Queer,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone.",6.4, (29K,"https://m.media-amazon.com/images/M/MV5BMjE5YjAyOWYtMDk2Zi00NjFmLWE3OGMtMjc0ZjNmYjQxMmEzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 17m,2024
The Count of Monte-Cristo,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the count of Monte Cristo to exact revenge on the men who betrayed him.",7.6, (47K,"https://m.media-amazon.com/images/M/MV5BMTY4NTA3ZDYtMWVkYy00MGNkLTlmYzUtODQ5YjZlZTA3YjA5XkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg",2h 58m,2024
Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",6.5, (111K,"https://m.media-amazon.com/images/M/MV5BZWNjZWUwNDgtYTM4ZC00Zjk0LTg3ZWItNGEyZmVkZTIxZDk0XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",1h 55m,2024
Carry-On,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.,6.5, (190K,"https://m.media-amazon.com/images/M/MV5BNTNkMjQzNmQtNzE4ZC00NDlmLTkyYjAtZDZkYTQ5NjBmYThlXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 59m,2024
The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",5.7, (68K,"https://m.media-amazon.com/images/M/MV5BN2I3MjIzYzMtNDkxNS00ZDIzLWEzZjktNDJlZDZlOGZlMTMxXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 42m,2024
Venom: The Last Dance,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.,6.0, (151K,"https://m.media-amazon.com/images/M/MV5BZDMyYWU4NzItZDY0MC00ODE2LTkyYTMtMzNkNDdmYmFhZDg0XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",1h 50m,2024
Subservience,"A struggling father purchases a domestic SIM to help care for his family, unaware she will gain self-awareness.",5.4, (35K,"https://m.media-amazon.com/images/M/MV5BMjdlNjNlODEtYjA1OS00MDgzLWJiNTMtMDVlMWMyOGM5ZDhkXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 46m,2024
Caddo Lake,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history.",6.8, (53K,"https://m.media-amazon.com/images/M/MV5BZmIyOGI3NjgtZWJlYS00NzQ0LWJkMDUtNjhlYmFkYjI3NTM5XkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",1h 43m,2024
